po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,9,1,0,0,25,2400,49200.0,20.5,0.82,0,9254.06,1,60.86,202
0,0,31,1,0,0,200,150,949.5,6.33,0.03,1,3426.68,1,1.86,-187
0,0,35,0,0,0,60,17600,40480.0,2.3,0.04,0,8977.0,0,56.75,265
0,0,7,1,0,0,30,37470,417790.5,11.15,0.37,0,65875.32,1,516.81,144
0,0,16,1,0,0,60,2430,5224.5,2.15,0.04,1,3426.68,0,6.46,189
0,0,35,0,0,0,240,26439,51556.05,1.95,0.01,0,3853.89,0,85.07,338
0,0,12,0,0,0,30,1086,6972.12,6.42,0.21,0,226.25,1,11.5,3
0,0,8,0,0,0,60,2167,4897.42,2.26,0.04,0,3531.86,1,5.03,121
0,0,17,1,0,0,100,8586,764154.0,89.0,0.89,0,15519.77,1,1647.52,136
0,0,17,1,0,0,20,18000,576000.0,32.0,1.6,0,40091.65,1,807.55,44
0,0,26,0,0,0,60,98645,254504.1,2.58,0.04,1,3426.68,0,356.81,70
0,0,31,1,0,0,30,1200,34631.24,28.86,0.96,1,0.0,0,74.66,42
0,0,15,0,0,0,60,1827,13172.67,7.21,0.12,1,3426.68,1,21.73,49
0,0,9,0,0,0,30,7130,33511.0,4.7,0.16,0,2431.39,1,41.45,164
0,0,7,0,0,0,60,16837,117859.0,7.0,0.12,0,13924.23,1,145.79,53
0,0,24,1,0,0,100,2939,235120.0,80.0,0.8,0,13801.89,1,290.84,154
0,0,26,1,0,0,30,5900,297360.0,50.4,1.68,0,1727.2,1,475.78,-234
0,0,16,0,0,0,60,58,110.2,1.9,0.03,0,0.0,1,0.14,187
0,0,11,1,0,0,20,170,5440.0,32.0,1.6,0,143.57,1,6.4,111
0,0,9,1,0,0,30,2245,51635.0,23.0,0.77,0,2911.16,1,101.2,98
0,0,35,0,0,0,30,2448,20881.44,8.53,0.28,0,1854.35,1,45.02,50
0,0,9,0,0,0,60,1696,13144.0,7.75,0.13,1,3426.68,1,21.03,-626
0,0,31,1,0,0,30,1,16.73,16.73,0.56,1,0.0,0,0.02,412
0,0,26,0,0,0,60,957,2775.3,2.9,0.05,1,3426.68,1,4.44,-320
0,0,9,1,0,0,100,650,2925.0,4.5,0.04,0,1766.56,1,3.01,129
0,0,24,1,0,0,20,4200,134400.0,32.0,1.6,0,23167.84,1,263.42,55
0,0,31,1,0,0,30,915,15162.72,16.57,0.55,1,0.0,0,18.76,414
0,0,8,1,0,0,300,20,616.4,30.82,0.1,0,1573.41,1,0.76,226
0,0,38,1,0,0,30,6720,77145.6,11.48,0.38,0,3796.05,1,123.43,-365
0,0,9,0,0,0,240,628,1224.6,1.95,0.01,0,1794.58,1,2.64,175
0,0,38,1,0,0,60,24377,170639.0,7.0,0.12,1,3426.68,1,211.08,169
0,0,39,0,0,0,60,2548,33022.08,12.96,0.22,0,11188.53,0,46.3,146
0,0,9,0,0,0,30,4800,95616.0,19.92,0.66,0,7441.57,1,157.77,142
0,0,24,1,0,0,100,7412,575912.4,77.7,0.78,0,15891.96,1,950.26,130
0,0,40,0,0,0,30,105,892.5,8.5,0.28,0,3403.99,0,1.92,219
0,0,35,1,0,0,30,4913,117912.0,24.0,0.8,0,2277.0,1,231.11,119
0,0,31,1,0,0,30,153,1724.15,11.27,0.38,1,0.0,0,1.77,137
0,0,39,1,0,0,25,300,6000.0,20.0,0.8,0,1205.43,1,11.76,-67
0,0,38,1,0,0,30,22500,277425.0,12.33,0.41,0,18045.24,1,443.88,-608
0,0,31,1,0,0,30,400,1468.0,3.67,0.12,0,0.0,0,2.88,50
0,0,39,0,0,0,60,9545,163601.3,17.14,0.29,0,13232.09,0,352.72,183
0,0,9,0,0,0,120,3200,131520.0,41.1,0.34,0,2717.0,1,210.43,-623
0,0,9,1,0,0,100,2400,192000.0,80.0,0.8,0,20882.95,1,269.18,271
0,0,40,0,0,0,25,3508,70160.0,20.0,0.8,0,4641.85,1,112.26,-507
0,0,9,1,0,0,60,1577,14981.5,9.5,0.16,0,0.0,1,23.97,-587
0,0,6,1,0,0,30,594,16394.4,27.6,0.92,0,877.52,1,19.3,264
0,0,31,1,0,0,60,1,47.13,47.13,0.79,1,0.0,0,0.05,243
0,0,31,1,0,0,90,16,272.7,17.04,0.19,0,0.0,0,0.28,78
0,0,26,1,0,0,20,9048,244296.0,27.0,1.35,0,20635.3,1,390.87,-255
0,0,26,0,0,0,60,1542,11565.0,7.5,0.12,1,3426.68,1,18.5,-546
0,0,24,1,0,0,60,24816,201257.76,8.11,0.14,0,16835.52,1,206.89,147
0,0,32,0,0,0,60,240,1744.8,7.27,0.12,1,3426.68,0,2.16,180
0,0,38,1,0,0,30,22500,277425.0,12.33,0.41,0,16095.39,1,443.88,-556
0,0,37,0,0,0,120,8517,252784.56,29.68,0.25,0,15761.76,0,354.4,132
0,0,24,1,0,0,100,61,4739.7,77.7,0.78,0,1001.47,1,7.82,114
0,0,7,0,0,0,60,88208,213463.36,2.42,0.04,1,3426.68,0,299.28,28
0,0,38,1,0,0,60,24480,58752.0,2.4,0.04,0,20910.43,1,115.15,150
0,0,38,1,0,0,60,9030,95718.0,10.6,0.18,0,5726.24,1,157.93,176
0,0,26,1,0,0,100,2500,200000.0,80.0,0.8,0,5469.91,1,47.04,-732
0,0,12,1,0,0,240,13863,19824.09,1.43,0.01,0,11447.38,0,20.38,208
0,0,40,1,0,0,30,33439,155491.35,4.65,0.16,0,25955.06,1,159.85,76
